ID,Alias,Name,Category,Followers,Country,EngAuth,EngAvg
1,jlo,Jennifer Lopez,null,253.7M,United States,158.6K,233.4K
2,vindiesel,Vin Diesel,null,102.7M,United States,426.7K,534.3K
3,cznburak,Burak Özdemir,null,54.7M,Turkey,333.8K,424.1K
4,emrata,Emily Ratajkowski,null,30.1M,United States,528.3K,730.3K
5,kanyewest,Ye,null,19.7M,United States,580.8K,1.1M
6,hannahstocking,Hannah Stocking,null,26.4M,United States,585.3K,762.7K
7,vladimirshmondenko,VLADIMIR1 &amp; mr ANATOLY,null,11.7M,Russia,1M,1.3M
8,hakkiakdenizz,hakki akdeniz,null,32.6M,Turkey,261.9K,429.1K
9,gusein.gasanov,ГУСЕЙН ГАСАНОВ,null,28M,Russia,373.6K,519.5K
10,otabek_muhammadalievich,Otabek Umarov,null,31.6M,Russia,278K,428K
11,tatawerneck,Tata Werneck,null,57.2M,Brazil,127.4K,191.2K
12,khabib_nurmagomedov,Хабиб Нурмагомедов,null,36.5M,Russia,169.9K,206.3K
13,kashikakapoor09,Kashika Kapoor,null,17.7M,India,179K,414K
14,leonardodicaprio,Leonardo DiCaprio,null,62.2M,United States,98.5K,117.7K
15,djeiran_han,Джейран Касымова,null,7M,India,564.1K,1M
16,araikgalstyanmoscowschool,ARAIK GALSTYAN,null,22.2M,Russia,158.7K,292.2K
17,neslihanatagul,Neslihan Atagül Doğulu,null,14.2M,Turkey,339.5K,409.3K
18,erkangndzlp,Erkan Gündüzalp,null,8.2M,Russia,374.7K,646.3K
19,irinashayk,irina shayk,null,23.4M,Russia,162K,201.6K
20,subo_m,Субо Мамедов,null,12.7M,Russia,307.6K,373.8K
21,evcenf,Fahriye Evcen Özçivit,null,13.8M,Turkey,263.9K,332.5K
22,rosiehw,Rosie HW,null,19.8M,United States,163.8K,219.2K
23,schwarzenegger,Arnold Schwarzenegger,null,26.1M,United States,126.4K,157.7K
24,rahimabramov,Rakhim,null,6.1M,Russia,413.8K,659.9K
25,eilirjani,Elton ILIRJANI,null,12.2M,Brazil,126.8K,296.2K
26,hasbulla.hushetskiy,Hasbulla Magomedov,null,8.4M,Russia,341.8K,411.6K
27,thenotoriousmma,Conor McGregor Official,null,47.2M,United States,55.8K,69K
28,adamweitsman,Adam Weitsman,null,20.2M,United States,92.9K,160.8K
29,limitless,Jas Mathur,null,12M,United States,100.6K,207K
30,pinchuk_official,Ирина Пинчук,null,5M,Russia,396.8K,498K
31,egorkreed,Егор Крид,null,14.6M,Russia,124.8K,142K
32,brianmaps,Брайн Мапс (Макс Тарасенко),null,5.9M,Russia,315.2K,345.9K
33,abdu_rozik,Abduroziq Official,null,8.4M,Tajikistan,178.2K,223.2K
34,islam_makhachev,Islam_Makhachev,null,8.2M,Russia,187.8K,227.6K
35,bmw,BMW,null,38.3M,United States,38.3K,46.2K
36,kikakim,Kristina Kim,null,8.4M,Kazakhstan,180.3K,207.3K
37,love__rose92,Liubava  Rose ❤️ 🌹,null,5.9M,India,192.3K,285.9K
38,nazar_8888_,Nazar Babenko,null,13.8M,Ukraine,61.6K,110.1K
39,ufc,UFC,null,40M,United States,31.8K,37.6K
40,urgantcom,Иван Ургант,null,11.9M,Russia,110.2K,124K
41,victoriabonya,VICTORIA BONYA,null,10.9M,United States,24.7K,118.3K
42,giovannaantonelli,Giovanna Antonelli,null,19.8M,Brazil,44.2K,63.2K
43,luna_the_pantera,Luna,null,4.8M,Russia,203.5K,260.1K
44,kvara7,Khvicha Kvaratskhelia,null,3.5M,Italy,300.4K,354.6K
45,adidas,adidas,null,28.7M,United States,34.3K,42.7K
46,wengallbi_tm,Ахмед Алиасхабов,null,4.7M,Russia,217.3K,262.4K
47,carolinederpienski,CAROLINE MARIA DERPIENSKI,null,8.5M,Russia,36.4K,145.2K
48,mercedesbenz,Mercedes-Benz,null,38.2M,United States,24.9K,30.2K
49,tiabajpai,Tia Bajpai,null,6.3M,India,107.2K,185.4K
50,nadin_serovski,Nadin Serovski,null,9.4M,Russia,29.8K,123.4K
